IDNr,Genus,Species,Cultivar,Dutch,English,From_where,Rootstock_species,Rootstock_source,Date_seeded,Date_grafted,Date_planted,Date_sold,Price,Size,Pot,Picture_filename,Comment,Customer,Long,Lat
21-0038,Juglans,regia,,Walnoot,Walnut,Marcel,,,,,2021-01-23,,,10-30,C7,,,,,
21-0045,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,2021-03-23,,20-60,C3,,Kado aan Beatrijs,,,
21-0046,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,2021-03-23,,20-60,C3,,Kado aan Afke Huitema,,,
21-0047,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0048,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0049,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0050,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0051,Rubus,phoenicolasius,,Japanse wijnbes,Wineberry,,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0052,Rubus,fruticosus,Thornless Evergreen,Doornloze braam,Thornless Blackberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C7,,,,,
21-0053,Castanea,sativa x cr.,Ecker 2,Tamme kastanje,Chestnut,Ecker,,,,,2020-04-20,2021-01-23,,80-150,W,,Moederboom – voor in de tuin bij Aukje,,,
21-0054,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0055,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0056,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0057,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0058,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0059,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0060,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0061,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0062,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0063,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0064,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0065,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0066,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0067,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0068,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0069,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0070,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0071,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0072,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
